기준년월,행정동명,중분류,소비액(천원)
202501,계림2동,관광총소비,651623.0
202502,계림2동,관광총소비,556151.0
202503,계림2동,관광총소비,658761.0
202504,계림2동,관광총소비,549476.0
202505,계림2동,관광총소비,703583.0
202506,계림2동,관광총소비,572370.0
202507,계림2동,관광총소비,697106.0
202508,계림2동,관광총소비,663575.0
202509,계림2동,관광총소비,666014.0
202510,계림2동,관광총소비,684867.0
202511,계림2동,관광총소비,568794.0
202512,계림2동,관광총소비,588989.0
202501,계림2동,육상운송,118.0
202501,계림2동,레저용품쇼핑,84.0
202501,계림2동,기타관광쇼핑,300154.0
202501,계림2동,기타레저,17654.0
202501,계림2동,뷰티,34843.0
202501,계림2동,일반외식업,215416.0
202501,계림2동,제과음료업,83354.0
202502,계림2동,육상운송,87.0
202502,계림2동,레저용품쇼핑,209.0
202502,계림2동,기타관광쇼핑,243496.0
202502,계림2동,기타레저,10268.0
202502,계림2동,뷰티,21770.0
202502,계림2동,일반외식업,195960.0
202502,계림2동,제과음료업,84360.0
202503,계림2동,육상운송,252.0
202503,계림2동,레저용품쇼핑,73.0
202503,계림2동,기타관광쇼핑,297346.0
202503,계림2동,기타레저,18910.0
202503,계림2동,뷰티,43634.0
202503,계림2동,일반외식업,203744.0
202503,계림2동,제과음료업,94802.0
202504,계림2동,육상운송,70.0
202504,계림2동,레저용품쇼핑,825.0
202504,계림2동,기타관광쇼핑,231073.0
202504,계림2동,기타레저,17162.0
202504,계림2동,뷰티,26640.0
202504,계림2동,일반외식업,190496.0
202504,계림2동,제과음료업,83210.0
202505,계림2동,육상운송,77.0
202505,계림2동,레저용품쇼핑,87.0
202505,계림2동,기타관광쇼핑,273488.0
202505,계림2동,기타레저,26430.0
202505,계림2동,뷰티,54672.0
202505,계림2동,일반외식업,244859.0
202505,계림2동,제과음료업,103970.0
202506,계림2동,기타관광쇼핑,232762.0
202506,계림2동,육상운송,82.0
202506,계림2동,레저용품쇼핑,2564.0
202506,계림2동,기타레저,13719.0
202506,계림2동,뷰티,29685.0
202506,계림2동,일반외식업,208866.0
202506,계림2동,제과음료업,84693.0
202507,계림2동,레저용품쇼핑,10577.0
202507,계림2동,기타관광쇼핑,297121.0
202507,계림2동,육상운송,130.0
202507,계림2동,기타레저,12293.0
202507,계림2동,뷰티,42280.0
202507,계림2동,일반외식업,242353.0
202507,계림2동,제과음료업,92351.0
202508,계림2동,기타관광쇼핑,249241.0
202508,계림2동,육상운송,195.0
202508,계림2동,레저용품쇼핑,2576.0
202508,계림2동,기타레저,12372.0
202508,계림2동,뷰티,50760.0
202508,계림2동,일반외식업,281981.0
202508,계림2동,제과음료업,66450.0
202509,계림2동,육상운송,84.0
202509,계림2동,레저용품쇼핑,2264.0
202509,계림2동,기타관광쇼핑,286005.0
202509,계림2동,기타레저,15365.0
202509,계림2동,뷰티,37469.0
202509,계림2동,일반외식업,264640.0
202509,계림2동,제과음료업,60188.0
202510,계림2동,육상운송,126.0
202510,계림2동,레저용품쇼핑,3316.0
202510,계림2동,기타관광쇼핑,250492.0
202510,계림2동,기타레저,27155.0
202510,계림2동,뷰티,37912.0
202510,계림2동,일반외식업,294701.0
202510,계림2동,제과음료업,71165.0
202511,계림2동,레저용품쇼핑,2398.0
202511,계림2동,기타관광쇼핑,206875.0
202511,계림2동,육상운송,122.0
202511,계림2동,기타레저,11207.0
202511,계림2동,뷰티,21513.0
202511,계림2동,일반외식업,269816.0
202511,계림2동,제과음료업,56864.0
202512,계림2동,기타관광쇼핑,199896.0
202512,계림2동,육상운송,46.0
202512,계림2동,기타레저,11965.0
202512,계림2동,뷰티,21694.0
202512,계림2동,일반외식업,295972.0
202512,계림2동,제과음료업,59417.0
