기준년월,행정동명,중분류,소비액(천원)
202501,산수2동,관광총소비,407292.0
202502,산수2동,관광총소비,318908.0
202503,산수2동,관광총소비,396552.0
202504,산수2동,관광총소비,340540.0
202505,산수2동,관광총소비,375005.0
202506,산수2동,관광총소비,323095.0
202507,산수2동,관광총소비,339455.0
202508,산수2동,관광총소비,425608.0
202509,산수2동,관광총소비,352072.0
202510,산수2동,관광총소비,381571.0
202511,산수2동,관광총소비,356969.0
202512,산수2동,관광총소비,413174.0
202501,산수2동,레저용품쇼핑,516.0
202501,산수2동,기타관광쇼핑,139695.0
202501,산수2동,기타레저,7832.0
202501,산수2동,뷰티,27793.0
202501,산수2동,일반외식업,202667.0
202501,산수2동,제과음료업,28789.0
202502,산수2동,기타관광쇼핑,87462.0
202502,산수2동,기타레저,6906.0
202502,산수2동,뷰티,25067.0
202502,산수2동,일반외식업,177603.0
202502,산수2동,제과음료업,21869.0
202503,산수2동,기타관광쇼핑,108446.0
202503,산수2동,기타레저,6661.0
202503,산수2동,문화서비스,10791.0
202503,산수2동,뷰티,36082.0
202503,산수2동,일반외식업,211673.0
202503,산수2동,제과음료업,22900.0
202504,산수2동,기타관광쇼핑,89704.0
202504,산수2동,기타레저,5609.0
202504,산수2동,뷰티,16759.0
202504,산수2동,일반외식업,195814.0
202504,산수2동,제과음료업,32654.0
202505,산수2동,기타관광쇼핑,117786.0
202505,산수2동,기타레저,4227.0
202505,산수2동,뷰티,20044.0
202505,산수2동,일반외식업,204491.0
202505,산수2동,제과음료업,28458.0
202506,산수2동,문화서비스,2740.0
202506,산수2동,기타관광쇼핑,88151.0
202506,산수2동,기타레저,2412.0
202506,산수2동,뷰티,11814.0
202506,산수2동,일반외식업,190105.0
202506,산수2동,제과음료업,27873.0
202507,산수2동,기타관광쇼핑,99770.0
202507,산수2동,기타레저,4738.0
202507,산수2동,뷰티,15744.0
202507,산수2동,일반외식업,190476.0
202507,산수2동,제과음료업,28726.0
202508,산수2동,기타관광쇼핑,107162.0
202508,산수2동,기타레저,3681.0
202508,산수2동,문화서비스,5367.0
202508,산수2동,뷰티,16355.0
202508,산수2동,일반외식업,264316.0
202508,산수2동,제과음료업,28727.0
202509,산수2동,기타관광쇼핑,111557.0
202509,산수2동,기타레저,4116.0
202509,산수2동,뷰티,18295.0
202509,산수2동,일반외식업,191488.0
202509,산수2동,제과음료업,26614.0
202510,산수2동,기타관광쇼핑,120546.0
202510,산수2동,기타레저,4709.0
202510,산수2동,뷰티,17124.0
202510,산수2동,일반외식업,206358.0
202510,산수2동,제과음료업,32834.0
202511,산수2동,기타관광쇼핑,95508.0
202511,산수2동,기타레저,1916.0
202511,산수2동,뷰티,13770.0
202511,산수2동,일반외식업,223365.0
202511,산수2동,제과음료업,22410.0
202512,산수2동,기타관광쇼핑,90818.0
202512,산수2동,기타레저,5474.0
202512,산수2동,뷰티,53908.0
202512,산수2동,일반외식업,234260.0
202512,산수2동,제과음료업,28714.0
