기준년월,행정동명,중분류,소비액(천원)
202501,서남동,관광총소비,2545268.0
202502,서남동,관광총소비,2328125.0
202503,서남동,관광총소비,3338394.0
202504,서남동,관광총소비,3048390.0
202505,서남동,관광총소비,3609615.0
202506,서남동,관광총소비,2700482.0
202507,서남동,관광총소비,2619591.0
202508,서남동,관광총소비,2909041.0
202509,서남동,관광총소비,3316213.0
202510,서남동,관광총소비,3152754.0
202511,서남동,관광총소비,2887156.0
202512,서남동,관광총소비,3031592.0
202501,서남동,기타숙박,68611.0
202501,서남동,여행업,42622.0
202501,서남동,기타관광쇼핑,526863.0
202501,서남동,육상운송,48074.0
202501,서남동,렌터카,13493.0
202501,서남동,레저용품쇼핑,6937.0
202501,서남동,골프장,786.0
202501,서남동,기타레저,29757.0
202501,서남동,문화서비스,317.0
202501,서남동,뷰티,65576.0
202501,서남동,일반외식업,1480794.0
202501,서남동,제과음료업,261437.0
202502,서남동,기타숙박,50116.0
202502,서남동,여행업,97984.0
202502,서남동,기타관광쇼핑,479823.0
202502,서남동,문화서비스,383.0
202502,서남동,육상운송,58786.0
202502,서남동,렌터카,15319.0
202502,서남동,레저용품쇼핑,9139.0
202502,서남동,기타레저,23266.0
202502,서남동,뷰티,47404.0
202502,서남동,일반외식업,1341058.0
202502,서남동,제과음료업,204846.0
202503,서남동,기타숙박,71097.0
202503,서남동,여행업,102294.0
202503,서남동,기타관광쇼핑,968470.0
202503,서남동,육상운송,136037.0
202503,서남동,렌터카,12435.0
202503,서남동,레저용품쇼핑,10343.0
202503,서남동,기타레저,33756.0
202503,서남동,문화서비스,19.0
202503,서남동,뷰티,63319.0
202503,서남동,일반외식업,1657635.0
202503,서남동,제과음료업,282989.0
202504,서남동,기타숙박,61610.0
202504,서남동,여행업,139546.0
202504,서남동,렌터카,21112.0
202504,서남동,기타관광쇼핑,767812.0
202504,서남동,육상운송,80900.0
202504,서남동,레저용품쇼핑,20902.0
202504,서남동,기타레저,38938.0
202504,서남동,뷰티,52212.0
202504,서남동,일반외식업,1587152.0
202504,서남동,제과음료업,278205.0
202505,서남동,기타숙박,97666.0
202505,서남동,여행업,73325.0
202505,서남동,기타관광쇼핑,883804.0
202505,서남동,캠핑장/펜션,6758.0
202505,서남동,육상운송,99187.0
202505,서남동,렌터카,33009.0
202505,서남동,레저용품쇼핑,2600.0
202505,서남동,기타레저,45073.0
202505,서남동,뷰티,95844.0
202505,서남동,일반외식업,1918371.0
202505,서남동,제과음료업,353979.0
202506,서남동,기타숙박,58039.0
202506,서남동,여행업,88877.0
202506,서남동,렌터카,19675.0
202506,서남동,기타관광쇼핑,649891.0
202506,서남동,캠핑장/펜션,10524.0
202506,서남동,육상운송,70539.0
202506,서남동,레저용품쇼핑,13116.0
202506,서남동,기타레저,35237.0
202506,서남동,뷰티,54366.0
202506,서남동,일반외식업,1430330.0
202506,서남동,제과음료업,269889.0
202507,서남동,기타숙박,59815.0
202507,서남동,여행업,8781.0
202507,서남동,렌터카,25130.0
202507,서남동,기타관광쇼핑,588416.0
202507,서남동,캠핑장/펜션,1646.0
202507,서남동,육상운송,68049.0
202507,서남동,레저용품쇼핑,23101.0
202507,서남동,기타레저,37049.0
202507,서남동,뷰티,67449.0
202507,서남동,일반외식업,1460109.0
202507,서남동,제과음료업,280047.0
202508,서남동,기타숙박,68877.0
202508,서남동,여행업,45263.0
202508,서남동,기타관광쇼핑,673512.0
202508,서남동,문화서비스,97.0
202508,서남동,육상운송,82529.0
202508,서남동,렌터카,13793.0
202508,서남동,레저용품쇼핑,32341.0
202508,서남동,기타레저,32392.0
202508,서남동,뷰티,71909.0
202508,서남동,일반외식업,1580955.0
202508,서남동,제과음료업,307374.0
202509,서남동,기타숙박,78305.0
202509,서남동,여행업,31428.0
202509,서남동,렌터카,42120.0
202509,서남동,기타관광쇼핑,903019.0
202509,서남동,육상운송,145011.0
202509,서남동,레저용품쇼핑,16752.0
202509,서남동,기타레저,37342.0
202509,서남동,문화서비스,212.0
202509,서남동,뷰티,86962.0
202509,서남동,일반외식업,1627457.0
202509,서남동,제과음료업,347605.0
202510,서남동,기타숙박,53459.0
202510,서남동,여행업,73369.0
202510,서남동,기타관광쇼핑,762508.0
202510,서남동,육상운송,73475.0
202510,서남동,렌터카,15660.0
202510,서남동,레저용품쇼핑,21320.0
202510,서남동,기타레저,41872.0
202510,서남동,뷰티,98286.0
202510,서남동,일반외식업,1681834.0
202510,서남동,제과음료업,330971.0
202511,서남동,기타숙박,34581.0
202511,서남동,렌터카,19696.0
202511,서남동,기타관광쇼핑,664853.0
202511,서남동,여행업,95716.0
202511,서남동,육상운송,78657.0
202511,서남동,레저용품쇼핑,27648.0
202511,서남동,기타레저,37434.0
202511,서남동,문화서비스,56.0
202511,서남동,뷰티,155580.0
202511,서남동,일반외식업,1456159.0
202511,서남동,제과음료업,316775.0
202512,서남동,기타숙박,67558.0
202512,서남동,여행업,87854.0
202512,서남동,기타관광쇼핑,656177.0
202512,서남동,문화서비스,217.0
202512,서남동,육상운송,85231.0
202512,서남동,렌터카,19943.0
202512,서남동,레저용품쇼핑,9783.0
202512,서남동,기타레저,59204.0
202512,서남동,뷰티,67174.0
202512,서남동,일반외식업,1649573.0
202512,서남동,제과음료업,328879.0
