기준년월,행정동명,중분류,소비액(천원)
202501,지산1동,관광총소비,712617.0
202502,지산1동,관광총소비,775791.0
202503,지산1동,관광총소비,1215829.0
202504,지산1동,관광총소비,1226015.0
202505,지산1동,관광총소비,1272762.0
202506,지산1동,관광총소비,949940.0
202507,지산1동,관광총소비,874846.0
202508,지산1동,관광총소비,858404.0
202509,지산1동,관광총소비,1110201.0
202510,지산1동,관광총소비,1043144.0
202511,지산1동,관광총소비,1008774.0
202512,지산1동,관광총소비,1042973.0
202501,지산1동,문화서비스,1002.0
202501,지산1동,육상운송,4416.0
202501,지산1동,레저용품쇼핑,1831.0
202501,지산1동,기타관광쇼핑,122320.0
202501,지산1동,기타레저,20482.0
202501,지산1동,의료관광,19305.0
202501,지산1동,뷰티,31405.0
202501,지산1동,일반외식업,389686.0
202501,지산1동,제과음료업,122169.0
202502,지산1동,문화서비스,5.0
202502,지산1동,육상운송,6024.0
202502,지산1동,기타관광쇼핑,118515.0
202502,지산1동,기타레저,24264.0
202502,지산1동,의료관광,23474.0
202502,지산1동,뷰티,22172.0
202502,지산1동,일반외식업,449410.0
202502,지산1동,제과음료업,131927.0
202503,지산1동,문화서비스,2574.0
202503,지산1동,육상운송,6359.0
202503,지산1동,렌터카,4748.0
202503,지산1동,기타관광쇼핑,178174.0
202503,지산1동,기타레저,52231.0
202503,지산1동,의료관광,43010.0
202503,지산1동,뷰티,20381.0
202503,지산1동,일반외식업,727459.0
202503,지산1동,제과음료업,180894.0
202504,지산1동,문화서비스,1686.0
202504,지산1동,육상운송,6000.0
202504,지산1동,레저용품쇼핑,273.0
202504,지산1동,기타관광쇼핑,189062.0
202504,지산1동,기타레저,61707.0
202504,지산1동,의료관광,39024.0
202504,지산1동,뷰티,33426.0
202504,지산1동,일반외식업,690541.0
202504,지산1동,제과음료업,204295.0
202505,지산1동,문화서비스,523.0
202505,지산1동,육상운송,6574.0
202505,지산1동,기타관광쇼핑,195240.0
202505,지산1동,기타레저,67876.0
202505,지산1동,의료관광,45228.0
202505,지산1동,뷰티,48496.0
202505,지산1동,일반외식업,712085.0
202505,지산1동,제과음료업,196740.0
202506,지산1동,문화서비스,2418.0
202506,지산1동,육상운송,6737.0
202506,지산1동,렌터카,4631.0
202506,지산1동,레저용품쇼핑,184.0
202506,지산1동,기타관광쇼핑,156279.0
202506,지산1동,기타레저,44987.0
202506,지산1동,의료관광,39731.0
202506,지산1동,뷰티,31558.0
202506,지산1동,일반외식업,502838.0
202506,지산1동,제과음료업,160576.0
202507,지산1동,문화서비스,145.0
202507,지산1동,육상운송,8110.0
202507,지산1동,기타관광쇼핑,152547.0
202507,지산1동,기타레저,29782.0
202507,지산1동,의료관광,27473.0
202507,지산1동,뷰티,39484.0
202507,지산1동,일반외식업,469114.0
202507,지산1동,제과음료업,148190.0
202508,지산1동,문화서비스,1673.0
202508,지산1동,육상운송,6063.0
202508,지산1동,기타관광쇼핑,156995.0
202508,지산1동,기타레저,28589.0
202508,지산1동,의료관광,29842.0
202508,지산1동,뷰티,29684.0
202508,지산1동,일반외식업,461869.0
202508,지산1동,제과음료업,143688.0
202509,지산1동,문화서비스,2452.0
202509,지산1동,육상운송,8399.0
202509,지산1동,기타관광쇼핑,198253.0
202509,지산1동,기타레저,44267.0
202509,지산1동,의료관광,37380.0
202509,지산1동,뷰티,25924.0
202509,지산1동,일반외식업,596609.0
202509,지산1동,제과음료업,196916.0
202510,지산1동,문화서비스,2180.0
202510,지산1동,육상운송,7786.0
202510,지산1동,기타관광쇼핑,158677.0
202510,지산1동,기타레저,41399.0
202510,지산1동,의료관광,36119.0
202510,지산1동,뷰티,23595.0
202510,지산1동,일반외식업,573335.0
202510,지산1동,제과음료업,200053.0
202511,지산1동,문화서비스,586.0
202511,지산1동,육상운송,8720.0
202511,지산1동,기타관광쇼핑,162055.0
202511,지산1동,기타레저,41641.0
202511,지산1동,의료관광,37873.0
202511,지산1동,뷰티,27588.0
202511,지산1동,일반외식업,548495.0
202511,지산1동,제과음료업,181816.0
202512,지산1동,문화서비스,3562.0
202512,지산1동,육상운송,8396.0
202512,지산1동,기타관광쇼핑,166849.0
202512,지산1동,기타레저,35437.0
202512,지산1동,의료관광,40154.0
202512,지산1동,뷰티,30061.0
202512,지산1동,일반외식업,577140.0
202512,지산1동,제과음료업,181374.0
