기준년월,행정동명,중분류,소비액(천원)
202501,지원1동,관광총소비,1319120.0
202502,지원1동,관광총소비,1169278.0
202503,지원1동,관광총소비,1448851.0
202504,지원1동,관광총소비,1338576.0
202505,지원1동,관광총소비,1463175.0
202506,지원1동,관광총소비,1306806.0
202507,지원1동,관광총소비,1388782.0
202508,지원1동,관광총소비,1320120.0
202509,지원1동,관광총소비,1344577.0
202510,지원1동,관광총소비,1344239.0
202511,지원1동,관광총소비,1224082.0
202512,지원1동,관광총소비,1302897.0
202501,지원1동,기타숙박,3975.0
202501,지원1동,레저용품쇼핑,5225.0
202501,지원1동,육상운송,652191.0
202501,지원1동,기타관광쇼핑,411081.0
202501,지원1동,뷰티,5529.0
202501,지원1동,일반외식업,208140.0
202501,지원1동,제과음료업,32980.0
202502,지원1동,기타숙박,5144.0
202502,지원1동,레저용품쇼핑,3114.0
202502,지원1동,육상운송,630279.0
202502,지원1동,기타관광쇼핑,318568.0
202502,지원1동,뷰티,12014.0
202502,지원1동,일반외식업,166350.0
202502,지원1동,제과음료업,33810.0
202503,지원1동,기타숙박,4264.0
202503,지원1동,레저용품쇼핑,9736.0
202503,지원1동,육상운송,757384.0
202503,지원1동,기타관광쇼핑,404619.0
202503,지원1동,뷰티,11956.0
202503,지원1동,일반외식업,222256.0
202503,지원1동,제과음료업,38636.0
202504,지원1동,기타숙박,6117.0
202504,지원1동,레저용품쇼핑,10350.0
202504,지원1동,육상운송,705960.0
202504,지원1동,기타관광쇼핑,369018.0
202504,지원1동,뷰티,6359.0
202504,지원1동,일반외식업,202361.0
202504,지원1동,제과음료업,38411.0
202505,지원1동,기타숙박,4474.0
202505,지원1동,레저용품쇼핑,16293.0
202505,지원1동,육상운송,747514.0
202505,지원1동,기타관광쇼핑,412791.0
202505,지원1동,뷰티,6523.0
202505,지원1동,일반외식업,236661.0
202505,지원1동,제과음료업,38918.0
202506,지원1동,기타숙박,3315.0
202506,지원1동,레저용품쇼핑,7963.0
202506,지원1동,육상운송,692536.0
202506,지원1동,기타관광쇼핑,387444.0
202506,지원1동,뷰티,6933.0
202506,지원1동,일반외식업,177245.0
202506,지원1동,제과음료업,31371.0
202507,지원1동,기타숙박,4419.0
202507,지원1동,레저용품쇼핑,13990.0
202507,지원1동,육상운송,752401.0
202507,지원1동,기타관광쇼핑,402020.0
202507,지원1동,뷰티,13146.0
202507,지원1동,일반외식업,161541.0
202507,지원1동,제과음료업,41265.0
202508,지원1동,기타숙박,3045.0
202508,지원1동,레저용품쇼핑,17469.0
202508,지원1동,육상운송,665314.0
202508,지원1동,기타관광쇼핑,404532.0
202508,지원1동,뷰티,8807.0
202508,지원1동,일반외식업,183211.0
202508,지원1동,제과음료업,37742.0
202509,지원1동,기타숙박,2986.0
202509,지원1동,레저용품쇼핑,12783.0
202509,지원1동,육상운송,632744.0
202509,지원1동,기타관광쇼핑,451337.0
202509,지원1동,뷰티,12514.0
202509,지원1동,일반외식업,206010.0
202509,지원1동,제과음료업,26203.0
202510,지원1동,기타숙박,8086.0
202510,지원1동,레저용품쇼핑,30252.0
202510,지원1동,육상운송,620792.0
202510,지원1동,기타관광쇼핑,422246.0
202510,지원1동,뷰티,9111.0
202510,지원1동,일반외식업,217720.0
202510,지원1동,제과음료업,36032.0
202511,지원1동,기타숙박,1741.0
202511,지원1동,레저용품쇼핑,9858.0
202511,지원1동,육상운송,610240.0
202511,지원1동,기타관광쇼핑,341603.0
202511,지원1동,뷰티,6828.0
202511,지원1동,일반외식업,219827.0
202511,지원1동,제과음료업,33985.0
202512,지원1동,기타숙박,2560.0
202512,지원1동,레저용품쇼핑,7646.0
202512,지원1동,육상운송,624719.0
202512,지원1동,기타관광쇼핑,391928.0
202512,지원1동,뷰티,7398.0
202512,지원1동,일반외식업,233467.0
202512,지원1동,제과음료업,35179.0
