기준년월,행정동명,중분류,소비액(천원)
202501,학동,관광총소비,2231151.0
202502,학동,관광총소비,1486552.0
202503,학동,관광총소비,1712677.0
202504,학동,관광총소비,1788129.0
202505,학동,관광총소비,1923655.0
202506,학동,관광총소비,1526173.0
202507,학동,관광총소비,1672876.0
202508,학동,관광총소비,1694524.0
202509,학동,관광총소비,1950387.0
202510,학동,관광총소비,2039044.0
202511,학동,관광총소비,1826779.0
202512,학동,관광총소비,1910453.0
202501,학동,기타숙박,19451.0
202501,학동,육상운송,4814.0
202501,학동,레저용품쇼핑,237.0
202501,학동,기타관광쇼핑,1545324.0
202501,학동,골프장,15043.0
202501,학동,기타레저,16330.0
202501,학동,뷰티,33828.0
202501,학동,일반외식업,464253.0
202501,학동,제과음료업,131871.0
202502,학동,기타숙박,22666.0
202502,학동,캠핑장/펜션,338.0
202502,학동,육상운송,4789.0
202502,학동,레저용품쇼핑,564.0
202502,학동,기타관광쇼핑,791559.0
202502,학동,골프장,8870.0
202502,학동,기타레저,14278.0
202502,학동,뷰티,21379.0
202502,학동,일반외식업,487362.0
202502,학동,제과음료업,134747.0
202503,학동,기타숙박,18998.0
202503,학동,캠핑장/펜션,178.0
202503,학동,육상운송,4824.0
202503,학동,레저용품쇼핑,54.0
202503,학동,기타관광쇼핑,1008547.0
202503,학동,골프장,10631.0
202503,학동,기타레저,15197.0
202503,학동,뷰티,31765.0
202503,학동,일반외식업,487669.0
202503,학동,제과음료업,134814.0
202504,학동,기타숙박,13737.0
202504,학동,캠핑장/펜션,344.0
202504,학동,육상운송,4819.0
202504,학동,레저용품쇼핑,1340.0
202504,학동,기타관광쇼핑,1053476.0
202504,학동,골프장,11990.0
202504,학동,기타레저,16975.0
202504,학동,뷰티,30614.0
202504,학동,일반외식업,509412.0
202504,학동,제과음료업,145422.0
202505,학동,기타숙박,23460.0
202505,학동,캠핑장/펜션,204.0
202505,학동,여행업,46218.0
202505,학동,육상운송,4790.0
202505,학동,기타관광쇼핑,1163284.0
202505,학동,골프장,7872.0
202505,학동,기타레저,12290.0
202505,학동,뷰티,29265.0
202505,학동,일반외식업,482664.0
202505,학동,제과음료업,153609.0
202506,학동,캠핑장/펜션,347.0
202506,학동,기타숙박,16352.0
202506,학동,육상운송,4906.0
202506,학동,기타관광쇼핑,888125.0
202506,학동,골프장,9774.0
202506,학동,기타레저,12755.0
202506,학동,뷰티,24275.0
202506,학동,일반외식업,431702.0
202506,학동,제과음료업,137936.0
202507,학동,캠핑장/펜션,373.0
202507,학동,기타숙박,20773.0
202507,학동,육상운송,5056.0
202507,학동,기타관광쇼핑,983657.0
202507,학동,기타레저,15880.0
202507,학동,뷰티,20987.0
202507,학동,일반외식업,469750.0
202507,학동,제과음료업,156399.0
202508,학동,기타숙박,25243.0
202508,학동,캠핑장/펜션,177.0
202508,학동,육상운송,4942.0
202508,학동,레저용품쇼핑,712.0
202508,학동,기타관광쇼핑,980241.0
202508,학동,기타레저,10386.0
202508,학동,뷰티,27783.0
202508,학동,일반외식업,477203.0
202508,학동,제과음료업,167837.0
202509,학동,기타숙박,14498.0
202509,학동,캠핑장/펜션,540.0
202509,학동,육상운송,4318.0
202509,학동,기타관광쇼핑,1162758.0
202509,학동,기타레저,12851.0
202509,학동,뷰티,27365.0
202509,학동,일반외식업,565958.0
202509,학동,제과음료업,162098.0
202510,학동,기타숙박,12818.0
202510,학동,캠핑장/펜션,2156.0
202510,학동,육상운송,5058.0
202510,학동,레저용품쇼핑,616.0
202510,학동,기타관광쇼핑,1305706.0
202510,학동,기타레저,12044.0
202510,학동,뷰티,27486.0
202510,학동,일반외식업,522759.0
202510,학동,제과음료업,150401.0
202511,학동,기타숙박,17139.0
202511,학동,육상운송,5078.0
202511,학동,레저용품쇼핑,479.0
202511,학동,기타관광쇼핑,1063897.0
202511,학동,기타레저,15097.0
202511,학동,뷰티,25956.0
202511,학동,일반외식업,550404.0
202511,학동,제과음료업,148730.0
202512,학동,기타숙박,22772.0
202512,학동,육상운송,5798.0
202512,학동,레저용품쇼핑,53.0
202512,학동,기타관광쇼핑,1081796.0
202512,학동,기타레저,13123.0
202512,학동,뷰티,23696.0
202512,학동,일반외식업,600693.0
202512,학동,제과음료업,162523.0
