기준년월,행정동명,중분류,소비액(천원)
202501,학운동,관광총소비,1355977.0
202502,학운동,관광총소비,1003724.0
202503,학운동,관광총소비,1348725.0
202504,학운동,관광총소비,1305158.0
202505,학운동,관광총소비,1527407.0
202506,학운동,관광총소비,1322208.0
202507,학운동,관광총소비,1111036.0
202508,학운동,관광총소비,1101027.0
202509,학운동,관광총소비,1085415.0
202510,학운동,관광총소비,1402913.0
202511,학운동,관광총소비,1440776.0
202512,학운동,관광총소비,1338004.0
202501,학운동,캠핑장/펜션,1496.0
202501,학운동,레저용품쇼핑,331314.0
202501,학운동,육상운송,64299.0
202501,학운동,기타관광쇼핑,266252.0
202501,학운동,골프장,8118.0
202501,학운동,기타레저,29611.0
202501,학운동,뷰티,24809.0
202501,학운동,일반외식업,525063.0
202501,학운동,제과음료업,105015.0
202502,학운동,캠핑장/펜션,2204.0
202502,학운동,레저용품쇼핑,221140.0
202502,학운동,육상운송,53467.0
202502,학운동,기타관광쇼핑,144653.0
202502,학운동,골프장,6396.0
202502,학운동,기타레저,21292.0
202502,학운동,뷰티,27843.0
202502,학운동,일반외식업,450149.0
202502,학운동,제과음료업,76580.0
202503,학운동,캠핑장/펜션,1890.0
202503,학운동,레저용품쇼핑,321887.0
202503,학운동,문화서비스,732.0
202503,학운동,육상운송,62933.0
202503,학운동,기타관광쇼핑,187028.0
202503,학운동,골프장,11534.0
202503,학운동,기타레저,24013.0
202503,학운동,뷰티,30768.0
202503,학운동,일반외식업,616156.0
202503,학운동,제과음료업,91785.0
202504,학운동,캠핑장/펜션,2080.0
202504,학운동,레저용품쇼핑,328208.0
202504,학운동,문화서비스,718.0
202504,학운동,육상운송,64474.0
202504,학운동,기타관광쇼핑,178054.0
202504,학운동,골프장,7077.0
202504,학운동,기타레저,12793.0
202504,학운동,뷰티,31122.0
202504,학운동,일반외식업,581120.0
202504,학운동,제과음료업,99512.0
202505,학운동,캠핑장/펜션,4530.0
202505,학운동,레저용품쇼핑,357068.0
202505,학운동,문화서비스,1626.0
202505,학운동,육상운송,67246.0
202505,학운동,기타관광쇼핑,221187.0
202505,학운동,골프장,6411.0
202505,학운동,기타레저,30678.0
202505,학운동,뷰티,24959.0
202505,학운동,일반외식업,700117.0
202505,학운동,제과음료업,113585.0
202506,학운동,캠핑장/펜션,1341.0
202506,학운동,레저용품쇼핑,303227.0
202506,학운동,문화서비스,1074.0
202506,학운동,육상운송,60738.0
202506,학운동,기타관광쇼핑,201587.0
202506,학운동,골프장,4248.0
202506,학운동,기타레저,27522.0
202506,학운동,뷰티,19766.0
202506,학운동,일반외식업,598802.0
202506,학운동,제과음료업,103902.0
202507,학운동,캠핑장/펜션,2057.0
202507,학운동,레저용품쇼핑,180642.0
202507,학운동,육상운송,62156.0
202507,학운동,기타관광쇼핑,176074.0
202507,학운동,골프장,2504.0
202507,학운동,기타레저,40566.0
202507,학운동,문화서비스,280.0
202507,학운동,뷰티,27595.0
202507,학운동,일반외식업,528363.0
202507,학운동,제과음료업,90798.0
202508,학운동,캠핑장/펜션,564.0
202508,학운동,레저용품쇼핑,170068.0
202508,학운동,문화서비스,994.0
202508,학운동,육상운송,59466.0
202508,학운동,기타관광쇼핑,174238.0
202508,학운동,골프장,9969.0
202508,학운동,기타레저,27515.0
202508,학운동,뷰티,18726.0
202508,학운동,일반외식업,545737.0
202508,학운동,제과음료업,93749.0
202509,학운동,레저용품쇼핑,194958.0
202509,학운동,문화서비스,1328.0
202509,학운동,육상운송,58720.0
202509,학운동,기타관광쇼핑,170143.0
202509,학운동,골프장,10587.0
202509,학운동,기타레저,20955.0
202509,학운동,뷰티,29579.0
202509,학운동,일반외식업,523862.0
202509,학운동,제과음료업,75283.0
202510,학운동,레저용품쇼핑,343549.0
202510,학운동,문화서비스,2375.0
202510,학운동,육상운송,88023.0
202510,학운동,기타관광쇼핑,224249.0
202510,학운동,골프장,11008.0
202510,학운동,기타레저,32240.0
202510,학운동,뷰티,20157.0
202510,학운동,일반외식업,553064.0
202510,학운동,제과음료업,128249.0
202511,학운동,레저용품쇼핑,515493.0
202511,학운동,문화서비스,2644.0
202511,학운동,육상운송,67804.0
202511,학운동,기타관광쇼핑,179420.0
202511,학운동,골프장,4727.0
202511,학운동,기타레저,17154.0
202511,학운동,뷰티,15078.0
202511,학운동,일반외식업,545540.0
202511,학운동,제과음료업,92916.0
202512,학운동,레저용품쇼핑,353866.0
202512,학운동,문화서비스,527.0
202512,학운동,육상운송,61150.0
202512,학운동,기타관광쇼핑,212220.0
202512,학운동,골프장,4880.0
202512,학운동,기타레저,22444.0
202512,학운동,뷰티,31178.0
202512,학운동,일반외식업,556811.0
202512,학운동,제과음료업,94928.0
