date,region,time,value
20250101,충장동,0,776
20250101,동명동,0,691
20250101,계림1동,0,540
20250101,계림2동,0,511
20250101,산수1동,0,475
20250101,산수2동,0,384
20250101,지산1동,0,440
20250101,지산2동,0,484
20250101,서남동,0,492
20250101,학동,0,572
20250101,학운동,0,471
20250101,지원1동,0,592
20250101,지원2동,0,550
20250101,충장동,1,704
20250101,동명동,1,822
20250101,계림1동,1,504
20250101,계림2동,1,508
20250101,산수1동,1,554
20250101,산수2동,1,500
20250101,지산1동,1,437
20250101,지산2동,1,335
20250101,서남동,1,595
20250101,학동,1,670
20250101,학운동,1,604
20250101,지원1동,1,588
20250101,지원2동,1,514
20250101,충장동,2,698
20250101,동명동,2,765
20250101,계림1동,2,497
20250101,계림2동,2,415
20250101,산수1동,2,410
20250101,산수2동,2,363
20250101,지산1동,2,400
20250101,지산2동,2,479
20250101,서남동,2,591
20250101,학동,2,579
20250101,학운동,2,538
20250101,지원1동,2,446
20250101,지원2동,2,526
20250101,충장동,3,813
20250101,동명동,3,742
20250101,계림1동,3,617
20250101,계림2동,3,581
20250101,산수1동,3,523
20250101,산수2동,3,437
20250101,지산1동,3,397
20250101,지산2동,3,413
20250101,서남동,3,596
20250101,학동,3,535
20250101,학운동,3,580
20250101,지원1동,3,604
20250101,지원2동,3,493
20250101,충장동,4,624
20250101,동명동,4,820
20250101,계림1동,4,632
20250101,계림2동,4,603
20250101,산수1동,4,388
20250101,산수2동,4,476
20250101,지산1동,4,495
20250101,지산2동,4,312
20250101,서남동,4,631
20250101,학동,4,548
20250101,학운동,4,455
20250101,지원1동,4,483
20250101,지원2동,4,498
20250101,충장동,5,626
20250101,동명동,5,816
20250101,계림1동,5,569
20250101,계림2동,5,477
20250101,산수1동,5,486
20250101,산수2동,5,423
20250101,지산1동,5,337
20250101,지산2동,5,325
20250101,서남동,5,558
20250101,학동,5,569
20250101,학운동,5,601
20250101,지원1동,5,467
20250101,지원2동,5,483
20250101,충장동,6,1282
20250101,동명동,6,1381
20250101,계림1동,6,814
20250101,계림2동,6,788
20250101,산수1동,6,873
20250101,산수2동,6,714
20250101,지산1동,6,656
20250101,지산2동,6,715
20250101,서남동,6,942
20250101,학동,6,903
20250101,학운동,6,808
20250101,지원1동,6,817
20250101,지원2동,6,908
20250101,충장동,7,1268
20250101,동명동,7,1342
20250101,계림1동,7,811
20250101,계림2동,7,862
20250101,산수1동,7,791
20250101,산수2동,7,733
20250101,지산1동,7,659
20250101,지산2동,7,688
20250101,서남동,7,955
20250101,학동,7,1094
20250101,학운동,7,998
20250101,지원1동,7,902
20250101,지원2동,7,827
20250101,충장동,8,1501
20250101,동명동,8,1545
20250101,계림1동,8,1115
20250101,계림2동,8,973
20250101,산수1동,8,959
20250101,산수2동,8,857
20250101,지산1동,8,927
20250101,지산2동,8,737
20250101,서남동,8,1231
20250101,학동,8,1149
20250101,학운동,8,1132
20250101,지원1동,8,937
20250101,지원2동,8,918
