기준년월,행정동명,방문자 구분,방문자 수
20250101,동명동,외지인방문자(b),12033.0
20250101,동명동,전체방문자(a+b),20618.0
20250101,동명동,현지인방문자(a),8586.0
20250102,동명동,외지인방문자(b),9212.0
20250102,동명동,전체방문자(a+b),20710.0
20250102,동명동,현지인방문자(a),11498.0
20250103,동명동,외지인방문자(b),11344.0
20250103,동명동,전체방문자(a+b),23166.0
20250103,동명동,현지인방문자(a),11823.0
20250104,동명동,외지인방문자(b),16062.0
20250104,동명동,전체방문자(a+b),25795.0
20250104,동명동,현지인방문자(a),9734.0
20250105,동명동,외지인방문자(b),10745.0
20250105,동명동,전체방문자(a+b),19460.0
20250105,동명동,현지인방문자(a),8715.0
20250106,동명동,외지인방문자(b),8754.0
20250106,동명동,전체방문자(a+b),19848.0
20250106,동명동,현지인방문자(a),11095.0
20250107,동명동,외지인방문자(b),8558.0
20250107,동명동,전체방문자(a+b),19593.0
20250107,동명동,현지인방문자(a),11036.0
20250108,동명동,외지인방문자(b),9485.0
20250108,동명동,전체방문자(a+b),21262.0
20250108,동명동,현지인방문자(a),11778.0
20250109,동명동,외지인방문자(b),8183.0
20250109,동명동,전체방문자(a+b),19404.0
20250109,동명동,현지인방문자(a),11221.0
20250110,동명동,외지인방문자(b),10843.0
20250110,동명동,전체방문자(a+b),22414.0
20250110,동명동,현지인방문자(a),11571.0
20250111,동명동,외지인방문자(b),16800.0
20250111,동명동,전체방문자(a+b),26957.0
20250111,동명동,현지인방문자(a),10157.0
20250112,동명동,외지인방문자(b),12540.0
20250112,동명동,전체방문자(a+b),21301.0
20250112,동명동,현지인방문자(a),8760.0
20250113,동명동,외지인방문자(b),10034.0
20250113,동명동,전체방문자(a+b),21203.0
20250113,동명동,현지인방문자(a),11168.0
20250114,동명동,외지인방문자(b),10650.0
20250114,동명동,전체방문자(a+b),22620.0
20250114,동명동,현지인방문자(a),11970.0
20250115,동명동,외지인방문자(b),10356.0
20250115,동명동,전체방문자(a+b),21956.0
20250115,동명동,현지인방문자(a),11599.0
20250116,동명동,외지인방문자(b),10899.0
20250116,동명동,전체방문자(a+b),22718.0
20250116,동명동,현지인방문자(a),11820.0
20250117,동명동,외지인방문자(b),13174.0
20250117,동명동,전체방문자(a+b),25487.0
20250117,동명동,현지인방문자(a),12313.0
20250118,동명동,외지인방문자(b),17244.0
20250118,동명동,전체방문자(a+b),27248.0
20250118,동명동,현지인방문자(a),10003.0
20250119,동명동,외지인방문자(b),12254.0
20250119,동명동,전체방문자(a+b),21430.0
20250119,동명동,현지인방문자(a),9177.0
20250120,동명동,외지인방문자(b),10479.0
20250120,동명동,전체방문자(a+b),21998.0
20250120,동명동,현지인방문자(a),11518.0
20250121,동명동,외지인방문자(b),10860.0
20250121,동명동,전체방문자(a+b),22838.0
20250121,동명동,현지인방문자(a),11977.0
20250122,동명동,외지인방문자(b),10832.0
20250122,동명동,전체방문자(a+b),22670.0
20250122,동명동,현지인방문자(a),11837.0
20250123,동명동,외지인방문자(b),11536.0
20250123,동명동,전체방문자(a+b),23958.0
20250123,동명동,현지인방문자(a),12422.0
20250124,동명동,외지인방문자(b),14077.0
20250124,동명동,전체방문자(a+b),26618.0
20250124,동명동,현지인방문자(a),12540.0
20250125,동명동,외지인방문자(b),18676.0
20250125,동명동,전체방문자(a+b),28816.0
20250125,동명동,현지인방문자(a),10140.0
20250126,동명동,외지인방문자(b),17594.0
20250126,동명동,전체방문자(a+b),26278.0
20250126,동명동,현지인방문자(a),8684.0
20250127,동명동,외지인방문자(b),16107.0
20250127,동명동,전체방문자(a+b),23754.0
20250127,동명동,현지인방문자(a),7648.0
20250128,동명동,외지인방문자(b),12642.0
20250128,동명동,전체방문자(a+b),18830.0
20250128,동명동,현지인방문자(a),6188.0
20250129,동명동,외지인방문자(b),11148.0
20250129,동명동,전체방문자(a+b),16576.0
20250129,동명동,현지인방문자(a),5428.0
20250130,동명동,외지인방문자(b),13993.0
20250130,동명동,전체방문자(a+b),21455.0
20250130,동명동,현지인방문자(a),7462.0
20250131,동명동,외지인방문자(b),14224.0
20250131,동명동,전체방문자(a+b),24664.0
20250131,동명동,현지인방문자(a),10440.0
