기준년월,행정동명,방문자 구분,방문자 수
20250201,충장동,외지인방문자(b),44880.0
20250201,충장동,전체방문자(a+b),65310.0
20250201,충장동,현지인방문자(a),20430.0
20250202,충장동,외지인방문자(b),39795.0
20250202,충장동,전체방문자(a+b),59098.0
20250202,충장동,현지인방문자(a),19302.0
20250203,충장동,외지인방문자(b),31146.0
20250203,충장동,전체방문자(a+b),55780.0
20250203,충장동,현지인방문자(a),24633.0
20250204,충장동,외지인방문자(b),26008.0
20250204,충장동,전체방문자(a+b),48545.0
20250204,충장동,현지인방문자(a),22536.0
20250205,충장동,외지인방문자(b),28858.0
20250205,충장동,전체방문자(a+b),53004.0
20250205,충장동,현지인방문자(a),24146.0
20250206,충장동,외지인방문자(b),31948.0
20250206,충장동,전체방문자(a+b),56094.0
20250206,충장동,현지인방문자(a),24146.0
20250207,충장동,외지인방문자(b),28203.0
20250207,충장동,전체방문자(a+b),51272.0
20250207,충장동,현지인방문자(a),23068.0
20250208,충장동,외지인방문자(b),50092.0
20250208,충장동,전체방문자(a+b),71298.0
20250208,충장동,현지인방문자(a),21206.0
20250209,충장동,외지인방문자(b),46186.0
20250209,충장동,전체방문자(a+b),65660.0
20250209,충장동,현지인방문자(a),19474.0
20250210,충장동,외지인방문자(b),35490.0
20250210,충장동,전체방문자(a+b),59486.0
20250210,충장동,현지인방문자(a),23996.0
20250211,충장동,외지인방문자(b),38430.0
20250211,충장동,전체방문자(a+b),63245.0
20250211,충장동,현지인방문자(a),24815.0
20250212,충장동,외지인방문자(b),34286.0
20250212,충장동,전체방문자(a+b),58594.0
20250212,충장동,현지인방문자(a),24308.0
20250213,충장동,외지인방문자(b),38552.0
20250213,충장동,전체방문자(a+b),63546.0
20250213,충장동,현지인방문자(a),24994.0
20250214,충장동,외지인방문자(b),44244.0
20250214,충장동,전체방문자(a+b),70644.0
20250214,충장동,현지인방문자(a),26400.0
20250215,충장동,외지인방문자(b),96722.0
20250215,충장동,전체방문자(a+b),120092.0
20250215,충장동,현지인방문자(a),23370.0
20250216,충장동,외지인방문자(b),46456.0
20250216,충장동,전체방문자(a+b),65706.0
20250216,충장동,현지인방문자(a),19250.0
20250217,충장동,외지인방문자(b),35371.0
20250217,충장동,전체방문자(a+b),59238.0
20250217,충장동,현지인방문자(a),23866.0
20250218,충장동,외지인방문자(b),35788.0
20250218,충장동,전체방문자(a+b),60624.0
20250218,충장동,현지인방문자(a),24836.0
20250219,충장동,외지인방문자(b),37051.0
20250219,충장동,전체방문자(a+b),61880.0
20250219,충장동,현지인방문자(a),24829.0
20250220,충장동,외지인방문자(b),39123.0
20250220,충장동,전체방문자(a+b),64477.0
20250220,충장동,현지인방문자(a),25354.0
20250221,충장동,외지인방문자(b),43886.0
20250221,충장동,전체방문자(a+b),69132.0
20250221,충장동,현지인방문자(a),25246.0
20250222,충장동,외지인방문자(b),58086.0
20250222,충장동,전체방문자(a+b),78950.0
20250222,충장동,현지인방문자(a),20864.0
20250223,충장동,외지인방문자(b),44310.0
20250223,충장동,전체방문자(a+b),63259.0
20250223,충장동,현지인방문자(a),18949.0
20250224,충장동,외지인방문자(b),37863.0
20250224,충장동,전체방문자(a+b),62464.0
20250224,충장동,현지인방문자(a),24602.0
20250225,충장동,외지인방문자(b),41080.0
20250225,충장동,전체방문자(a+b),67050.0
20250225,충장동,현지인방문자(a),25970.0
20250226,충장동,외지인방문자(b),42616.0
20250226,충장동,전체방문자(a+b),68260.0
20250226,충장동,현지인방문자(a),25644.0
20250227,충장동,외지인방문자(b),41646.0
20250227,충장동,전체방문자(a+b),66577.0
20250227,충장동,현지인방문자(a),24930.0
20250228,충장동,외지인방문자(b),47744.0
20250228,충장동,전체방문자(a+b),73916.0
20250228,충장동,현지인방문자(a),26173.0
