기준년월,행정동명,방문자 구분,방문자 수
20250401,동명동,외지인방문자(b),9261.0
20250401,동명동,전체방문자(a+b),21441.0
20250401,동명동,현지인방문자(a),12180.0
20250402,동명동,외지인방문자(b),9548.0
20250402,동명동,전체방문자(a+b),21578.0
20250402,동명동,현지인방문자(a),12030.0
20250403,동명동,외지인방문자(b),9866.0
20250403,동명동,전체방문자(a+b),21980.0
20250403,동명동,현지인방문자(a),12114.0
20250404,동명동,외지인방문자(b),12856.0
20250404,동명동,전체방문자(a+b),25414.0
20250404,동명동,현지인방문자(a),12558.0
20250405,동명동,외지인방문자(b),15970.0
20250405,동명동,전체방문자(a+b),25708.0
20250405,동명동,현지인방문자(a),9737.0
20250406,동명동,외지인방문자(b),11672.0
20250406,동명동,전체방문자(a+b),21038.0
20250406,동명동,현지인방문자(a),9366.0
20250407,동명동,외지인방문자(b),9076.0
20250407,동명동,전체방문자(a+b),20310.0
20250407,동명동,현지인방문자(a),11235.0
20250408,동명동,외지인방문자(b),9930.0
20250408,동명동,전체방문자(a+b),21886.0
20250408,동명동,현지인방문자(a),11956.0
20250409,동명동,외지인방문자(b),10472.0
20250409,동명동,전체방문자(a+b),22838.0
20250409,동명동,현지인방문자(a),12366.0
20250410,동명동,외지인방문자(b),11144.0
20250410,동명동,전체방문자(a+b),23488.0
20250410,동명동,현지인방문자(a),12344.0
20250411,동명동,외지인방문자(b),13629.0
20250411,동명동,전체방문자(a+b),26439.0
20250411,동명동,현지인방문자(a),12810.0
20250412,동명동,외지인방문자(b),17028.0
20250412,동명동,전체방문자(a+b),26730.0
20250412,동명동,현지인방문자(a),9702.0
20250413,동명동,외지인방문자(b),12530.0
20250413,동명동,전체방문자(a+b),21514.0
20250413,동명동,현지인방문자(a),8984.0
20250414,동명동,외지인방문자(b),8340.0
20250414,동명동,전체방문자(a+b),19005.0
20250414,동명동,현지인방문자(a),10664.0
20250415,동명동,외지인방문자(b),9740.0
20250415,동명동,전체방문자(a+b),21602.0
20250415,동명동,현지인방문자(a),11862.0
20250416,동명동,외지인방문자(b),10941.0
20250416,동명동,전체방문자(a+b),23244.0
20250416,동명동,현지인방문자(a),12302.0
20250417,동명동,외지인방문자(b),10850.0
20250417,동명동,전체방문자(a+b),22967.0
20250417,동명동,현지인방문자(a),12117.0
20250418,동명동,외지인방문자(b),12432.0
20250418,동명동,전체방문자(a+b),24948.0
20250418,동명동,현지인방문자(a),12516.0
20250419,동명동,외지인방문자(b),15666.0
20250419,동명동,전체방문자(a+b),25392.0
20250419,동명동,현지인방문자(a),9726.0
20250420,동명동,외지인방문자(b),12254.0
20250420,동명동,전체방문자(a+b),21654.0
20250420,동명동,현지인방문자(a),9401.0
20250421,동명동,외지인방문자(b),9530.0
20250421,동명동,전체방문자(a+b),20856.0
20250421,동명동,현지인방문자(a),11326.0
20250422,동명동,외지인방문자(b),9608.0
20250422,동명동,전체방문자(a+b),21140.0
20250422,동명동,현지인방문자(a),11532.0
20250423,동명동,외지인방문자(b),10574.0
20250423,동명동,전체방문자(a+b),22928.0
20250423,동명동,현지인방문자(a),12355.0
20250424,동명동,외지인방문자(b),11774.0
20250424,동명동,전체방문자(a+b),24014.0
20250424,동명동,현지인방문자(a),12240.0
20250425,동명동,외지인방문자(b),14259.0
20250425,동명동,전체방문자(a+b),26982.0
20250425,동명동,현지인방문자(a),12722.0
20250426,동명동,외지인방문자(b),19862.0
20250426,동명동,전체방문자(a+b),30292.0
20250426,동명동,현지인방문자(a),10430.0
20250427,동명동,외지인방문자(b),13986.0
20250427,동명동,전체방문자(a+b),23720.0
20250427,동명동,현지인방문자(a),9734.0
20250428,동명동,외지인방문자(b),11252.0
20250428,동명동,전체방문자(a+b),22992.0
20250428,동명동,현지인방문자(a),11739.0
20250429,동명동,외지인방문자(b),11686.0
20250429,동명동,전체방문자(a+b),23880.0
20250429,동명동,현지인방문자(a),12194.0
20250430,동명동,외지인방문자(b),13828.0
20250430,동명동,전체방문자(a+b),26736.0
20250430,동명동,현지인방문자(a),12908.0
