기준년월,행정동명,방문자 구분,방문자 수
20250701,충장동,외지인방문자(b),32694.0
20250701,충장동,전체방문자(a+b),59868.0
20250701,충장동,현지인방문자(a),27174.0
20250702,충장동,외지인방문자(b),34958.0
20250702,충장동,전체방문자(a+b),62170.0
20250702,충장동,현지인방문자(a),27212.0
20250703,충장동,외지인방문자(b),37020.0
20250703,충장동,전체방문자(a+b),64180.0
20250703,충장동,현지인방문자(a),27160.0
20250704,충장동,외지인방문자(b),45042.0
20250704,충장동,전체방문자(a+b),73560.0
20250704,충장동,현지인방문자(a),28518.0
20250705,충장동,외지인방문자(b),66650.0
20250705,충장동,전체방문자(a+b),90461.0
20250705,충장동,현지인방문자(a),23810.0
20250706,충장동,외지인방문자(b),47978.0
20250706,충장동,전체방문자(a+b),68870.0
20250706,충장동,현지인방문자(a),20892.0
20250707,충장동,외지인방문자(b),33162.0
20250707,충장동,전체방문자(a+b),59616.0
20250707,충장동,현지인방문자(a),26453.0
20250708,충장동,외지인방문자(b),34692.0
20250708,충장동,전체방문자(a+b),61789.0
20250708,충장동,현지인방문자(a),27097.0
20250709,충장동,외지인방문자(b),36141.0
20250709,충장동,전체방문자(a+b),63735.0
20250709,충장동,현지인방문자(a),27594.0
20250710,충장동,외지인방문자(b),38146.0
20250710,충장동,전체방문자(a+b),65538.0
20250710,충장동,현지인방문자(a),27391.0
20250711,충장동,외지인방문자(b),43404.0
20250711,충장동,전체방문자(a+b),70900.0
20250711,충장동,현지인방문자(a),27496.0
20250712,충장동,외지인방문자(b),62650.0
20250712,충장동,전체방문자(a+b),85886.0
20250712,충장동,현지인방문자(a),23236.0
20250713,충장동,외지인방문자(b),41626.0
20250713,충장동,전체방문자(a+b),61411.0
20250713,충장동,현지인방문자(a),19786.0
20250714,충장동,외지인방문자(b),34576.0
20250714,충장동,전체방문자(a+b),61002.0
20250714,충장동,현지인방문자(a),26425.0
20250715,충장동,외지인방문자(b),36855.0
20250715,충장동,전체방문자(a+b),63172.0
20250715,충장동,현지인방문자(a),26316.0
20250716,충장동,외지인방문자(b),35550.0
20250716,충장동,전체방문자(a+b),62016.0
20250716,충장동,현지인방문자(a),26467.0
20250717,충장동,외지인방문자(b),22918.0
20250717,충장동,전체방문자(a+b),44772.0
20250717,충장동,현지인방문자(a),21854.0
20250718,충장동,외지인방문자(b),35896.0
20250718,충장동,전체방문자(a+b),62678.0
20250718,충장동,현지인방문자(a),26782.0
20250719,충장동,외지인방문자(b),46109.0
20250719,충장동,전체방문자(a+b),67676.0
20250719,충장동,현지인방문자(a),21567.0
20250720,충장동,외지인방문자(b),48926.0
20250720,충장동,전체방문자(a+b),70182.0
20250720,충장동,현지인방문자(a),21256.0
20250721,충장동,외지인방문자(b),37597.0
20250721,충장동,전체방문자(a+b),63819.0
20250721,충장동,현지인방문자(a),26222.0
20250722,충장동,외지인방문자(b),42434.0
20250722,충장동,전체방문자(a+b),69864.0
20250722,충장동,현지인방문자(a),27430.0
20250723,충장동,외지인방문자(b),43088.0
20250723,충장동,전체방문자(a+b),70504.0
20250723,충장동,현지인방문자(a),27416.0
20250724,충장동,외지인방문자(b),42868.0
20250724,충장동,전체방문자(a+b),69727.0
20250724,충장동,현지인방문자(a),26859.0
20250725,충장동,외지인방문자(b),48916.0
20250725,충장동,전체방문자(a+b),77284.0
20250725,충장동,현지인방문자(a),28368.0
20250726,충장동,외지인방문자(b),61302.0
20250726,충장동,전체방문자(a+b),83748.0
20250726,충장동,현지인방문자(a),22446.0
20250727,충장동,외지인방문자(b),51880.0
20250727,충장동,전체방문자(a+b),72254.0
20250727,충장동,현지인방문자(a),20374.0
20250728,충장동,외지인방문자(b),42532.0
20250728,충장동,전체방문자(a+b),67956.0
20250728,충장동,현지인방문자(a),25424.0
20250729,충장동,외지인방문자(b),44807.0
20250729,충장동,전체방문자(a+b),70665.0
20250729,충장동,현지인방문자(a),25858.0
20250730,충장동,외지인방문자(b),50967.0
20250730,충장동,전체방문자(a+b),77742.0
20250730,충장동,현지인방문자(a),26775.0
20250731,충장동,외지인방문자(b),48038.0
20250731,충장동,전체방문자(a+b),74088.0
20250731,충장동,현지인방문자(a),26050.0
